Left Reading,Right Reading,Trial,Stimuli,Experiment Time Clock (Micro Sec)
0,0,No_signal,-1,9596504
0,0,No_signal,-1,9623544
0,0,No_signal,-1,9650584
0,0,No_signal,-1,9677624
0,0,No_signal,-1,9704664
0,0,No_signal,-1,9731704
0,0,No_signal,-1,9758744
0,0,No_signal,-1,9785784
0,0,No_signal,-1,9812824
0,0,No_signal,-1,9839864
0,0,No_signal,-1,9866904
0,0,No_signal,-1,9893944
0,0,No_signal,-1,9920984
0,0,No_signal,-1,9948024
0,0,No_signal,-1,9975064
0,0,No_signal,-1,10002104
0,0,No_signal,-1,10030184
0,0,No_signal,-1,10058264
0,0,No_signal,-1,10086344
0,0,No_signal,-1,10114424
0,0,No_signal,-1,10142512
0,0,No_signal,-1,10170584
0,0,No_signal,-1,10198664
0,0,No_signal,-1,10226744
0,0,No_signal,-1,10254824
0,0,No_signal,-1,10282904
0,0,No_signal,-1,10310984
0,0,No_signal,-1,10339064
0,0,No_signal,-1,10367144
0,0,No_signal,-1,10395224
0,0,No_signal,-1,10423304
0,0,No_signal,-1,10451384
0,0,No_signal,-1,10479464
0,0,No_signal,-1,10507544
0,0,No_signal,-1,10535624
0,0,No_signal,-1,10563704
0,0,No_signal,-1,10591784
0,0,No_signal,-1,10619864
0,0,No_signal,-1,10647944
0,0,No_signal,-1,10676024
0,0,No_signal,-1,10704104
0,0,No_signal,-1,10732184
0,0,No_signal,-1,10760264
0,0,No_signal,-1,10788344
0,0,No_signal,-1,10816424
0,0,No_signal,-1,10844504
0,0,No_signal,-1,10872584
0,0,No_signal,-1,10900664
0,0,No_signal,-1,10928744
0,0,No_signal,-1,10956824
0,0,No_signal,-1,10984904
0,0,No_signal,-1,11012984
0,0,No_signal,-1,11041064
0,0,No_signal,-1,11069144
0,0,No_signal,-1,11097224
0,0,No_signal,-1,11125304
0,0,No_signal,-1,11153384
0,0,No_signal,-1,11181464
0,0,No_signal,-1,11209544
0,0,No_signal,-1,11237624
0,0,No_signal,-1,11265704
0,0,No_signal,-1,11293784
0,0,No_signal,-1,11321864
0,0,No_signal,-1,11349944
0,0,No_signal,-1,11378024
0,0,No_signal,-1,11406104
0,0,No_signal,-1,11434184
0,0,No_signal,-1,11462264
0,0,No_signal,-1,11490344
0,0,No_signal,-1,11518424
0,0,No_signal,-1,11546504
0,0,No_signal,-1,11574584
0,0,No_signal,-1,11602664
0,0,No_signal,-1,11630744
0,0,No_signal,-1,11658824
0,0,No_signal,-1,11686904
0,0,No_signal,-1,11714984
0,0,No_signal,-1,11743064
0,0,No_signal,-1,11771144
0,0,No_signal,-1,11799224
0,0,No_signal,-1,11827304
0,0,No_signal,-1,11855384
0,0,No_signal,-1,11883464
0,0,No_signal,-1,11911544
0,0,No_signal,-1,11939632
0,0,No_signal,-1,11967704
0,0,No_signal,-1,11995784
0,0,No_signal,-1,12023864
0,0,No_signal,-1,12051944
0,0,No_signal,-1,12080024
0,0,No_signal,-1,12108104
0,0,No_signal,-1,12136184
0,0,No_signal,-1,12164264
0,0,No_signal,-1,12192344
0,0,No_signal,-1,12220424
0,0,No_signal,-1,12248504
0,0,Stimulus,Abstract,12281784
0,0,Stimulus,Abstract,12315064
0,0,Stimulus,Abstract,12348344
0,0,Stimulus,Abstract,12381624
0,0,Stimulus,Abstract,12414904
0,0,Stimulus,Abstract,12448184
0,0,Stimulus,Abstract,12481464
0,0,Stimulus,Abstract,12514744
0,0,Stimulus,Abstract,12548024
0,0,Stimulus,Abstract,12581304
0,0,Stimulus,Abstract,12614584
0,0,Stimulus,Abstract,12647864
0,0,Stimulus,Abstract,12681144
0,0,No_signal,-1,12709224
0,0,No_signal,-1,12737304
0,0,No_signal,-1,12765384
0,0,No_signal,-1,12793464
0,0,No_signal,-1,12821544
0,0,No_signal,-1,12849624
0,0,No_signal,-1,12877704
0,0,No_signal,-1,12905784
0,0,No_signal,-1,12933864
0,0,No_signal,-1,12961944
0,0,No_signal,-1,12990024
0,0,No_signal,-1,13018104
0,0,No_signal,-1,13046184
0,0,No_signal,-1,13074264
0,0,No_signal,-1,13102344
0,0,No_signal,-1,13130424
0,0,No_signal,-1,13158504
0,0,No_signal,-1,13186584
0,0,No_signal,-1,13214664
0,0,No_signal,-1,13242744
0,0,No_signal,-1,13270832
0,0,No_signal,-1,13298904
0,0,No_signal,-1,13326984
0,0,No_signal,-1,13355064
0,0,No_signal,-1,13383144
0,0,No_signal,-1,13411224
0,0,No_signal,-1,13439304
0,0,No_signal,-1,13467384
0,0,No_signal,-1,13495464
0,0,No_signal,-1,13523544
0,0,No_signal,-1,13551624
0,0,No_signal,-1,13579704
0,0,No_signal,-1,13607784
0,0,No_signal,-1,13635864
0,0,No_signal,-1,13663944
0,0,No_signal,-1,13692024
0,0,No_signal,-1,13720104
0,0,No_signal,-1,13748184
0,0,No_signal,-1,13776264
0,0,No_signal,-1,13804344
0,0,No_signal,-1,13832424
0,0,No_signal,-1,13860504
0,0,No_signal,-1,13888584
0,0,No_signal,-1,13916664
0,0,No_signal,-1,13944744
0,0,No_signal,-1,13972824
0,0,No_signal,-1,14000904
0,0,No_signal,-1,14028984
0,0,No_signal,-1,14057064
0,0,No_signal,-1,14085144
0,0,No_signal,-1,14113224
0,0,No_signal,-1,14141304
0,0,No_signal,-1,14169384
0,0,No_signal,-1,14197464
0,0,No_signal,-1,14225544
0,0,No_signal,-1,14253624
0,0,No_signal,-1,14281704
0,0,No_signal,-1,14309784
0,0,No_signal,-1,14337864
