Left Pressure (N),Right Pressure (N),Trial,Stimuli,Experiment Time Clock (Micro Sec)
35.86,0.00,ITI,-1,10578328
0.00,0.00,ITI,-1,10606416
0.00,0.00,ITI,-1,10634488
0.00,0.00,ITI,-1,10662568
0.00,0.00,ITI,-1,10690648
0.00,0.00,ITI,-1,10718728
0.00,0.00,ITI,-1,10746808
0.00,0.00,ITI,-1,10774888
0.00,0.00,ITI,-1,10802968
0.00,0.00,ITI,-1,10831048
0.00,0.00,ITI,-1,10859128
0.00,0.00,ITI,-1,10887208
0.00,0.00,ITI,-1,10915288
0.00,0.00,ITI,-1,10943368
0.00,0.00,ITI,-1,10971448
0.00,0.00,ITI,-1,10999528
0.00,0.00,ITI,-1,11027608
0.00,0.00,ITI,-1,11055688
0.00,0.00,ITI,-1,11083768
0.00,0.00,ITI,-1,11111848
0.00,0.00,ITI,-1,11139928
0.00,0.00,ITI,-1,11168008
0.00,0.00,ITI,-1,11196088
0.00,0.00,ITI,-1,11224168
0.00,0.00,ITI,-1,11252248
0.00,0.00,ITI,-1,11280328
0.00,0.00,ITI,-1,11308408
0.00,0.00,ITI,-1,11336488
0.00,0.00,ITI,-1,11364568
0.00,0.00,ITI,-1,11392648
0.00,0.00,ITI,-1,11420728
0.00,0.00,ITI,-1,11448808
0.00,0.00,ITI,-1,11476888
0.00,0.00,ITI,-1,11504968
0.00,0.00,ITI,-1,11533048
0.00,0.00,ITI,-1,11561128
0.00,0.00,ITI,-1,11589208
0.00,0.00,No_signal,Abstract,11629768
0.00,0.00,Stimulus,Abstract,11669288
0.00,0.00,Stimulus,Abstract,11708808
0.00,0.00,Stimulus,Abstract,11748328
0.00,0.00,Stimulus,Abstract,11787848
0.00,0.00,Stimulus,Abstract,11827368
0.00,0.00,Stimulus,Abstract,11866888
0.00,0.00,Stimulus,Abstract,11906408
0.00,0.00,Stimulus,Abstract,11945928
0.00,0.00,Stimulus,Abstract,11985448
0.00,0.00,Stimulus,Abstract,12024968
0.00,0.00,Stimulus,Abstract,12064488
0.00,0.00,ITI,-1,12092568
0.00,0.00,ITI,-1,12120648
0.00,0.00,ITI,-1,12148728
0.00,0.00,ITI,-1,12176808
0.00,0.00,ITI,-1,12204888
0.00,0.00,ITI,-1,12232968
0.00,0.00,ITI,-1,12261048
0.00,0.00,ITI,-1,12289128
0.00,0.00,ITI,-1,12317208
0.00,0.00,ITI,-1,12345288
0.00,0.00,ITI,-1,12373368
0.00,0.00,ITI,-1,12401448
0.00,0.00,ITI,-1,12429528
0.00,0.00,ITI,-1,12457608
0.00,0.00,ITI,-1,12485688
0.00,0.00,ITI,-1,12513768
0.00,0.00,ITI,-1,12541848
0.00,0.00,ITI,-1,12569928
0.00,0.00,ITI,-1,12598008
0.00,0.00,ITI,-1,12626088
0.00,0.00,ITI,-1,12654168
0.00,0.00,ITI,-1,12682248
0.00,0.00,ITI,-1,12710328
0.00,0.00,ITI,-1,12738408
0.00,0.00,ITI,-1,12766488
0.00,0.00,ITI,-1,12794568
0.00,0.00,ITI,-1,12822648
0.00,0.00,ITI,-1,12850728
0.00,0.00,ITI,-1,12878808
0.00,0.00,ITI,-1,12906888
0.00,0.00,ITI,-1,12934968
0.00,0.00,ITI,-1,12963048
0.00,0.00,ITI,-1,12991128
0.00,0.00,ITI,-1,13019208
0.00,0.00,ITI,-1,13047288
0.00,0.00,ITI,-1,13075368
0.00,0.00,ITI,-1,13103448
0.00,0.00,ITI,-1,13131528
0.00,0.00,ITI,-1,13159608
0.00,0.00,ITI,-1,13187688
0.00,0.00,ITI,-1,13215768
0.00,11.43,ITI,-1,13244888
0.00,28.83,ITI,-1,13274008
0.00,38.85,ITI,-1,13303128
0.00,41.13,ITI,-1,13332248
0.00,46.41,ITI,-1,13361368
0.00,48.52,ITI,-1,13390488
0.00,38.50,ITI,-1,13419608
0.00,21.97,ITI,-1,13448728
0.00,0.00,ITI,-1,13476808
0.00,0.00,ITI,-1,13504888
0.00,0.00,ITI,-1,13532968
0.00,0.00,ITI,-1,13561048
0.00,0.00,ITI,-1,13589128
0.00,0.00,ITI,-1,13617208
0.00,0.00,ITI,-1,13645288
0.00,0.00,ITI,-1,13673368
0.00,0.00,ITI,-1,13701448
0.00,0.00,ITI,-1,13729528
0.00,0.00,ITI,-1,13757608
0.00,0.00,ITI,-1,13785688
0.00,0.00,ITI,-1,13813768
0.00,0.00,ITI,-1,13841848
0.00,0.00,ITI,-1,13869928
0.00,0.00,ITI,-1,13898008
0.00,0.00,ITI,-1,13926088
0.00,0.00,ITI,-1,13954168
0.00,0.00,ITI,-1,13982248
0.00,0.00,ITI,-1,14010328
0.00,0.00,ITI,-1,14038408
0.00,0.00,ITI,-1,14066488
0.00,0.00,ITI,-1,14094568
0.00,0.00,ITI,-1,14122648
0.00,0.00,ITI,-1,14150728
0.00,0.00,ITI,-1,14178808
0.00,0.00,ITI,-1,14206888
0.00,0.00,ITI,-1,14234968
0.00,0.00,ITI,-1,14263048
0.00,0.00,ITI,-1,14291128
0.00,0.00,ITI,-1,14319208
0.00,0.00,ITI,-1,14347288
0.00,0.00,ITI,-1,14375368
0.00,0.00,ITI,-1,14403448
0.00,0.00,ITI,-1,14431528
0.00,0.00,ITI,-1,14459608
0.00,0.00,ITI,-1,14487688
0.00,0.00,ITI,-1,14515768
0.00,0.00,ITI,-1,14543848
0.00,0.00,ITI,-1,14571928
0.00,0.00,ITI,-1,14600016
0.00,0.00,ITI,-1,14628088
0.00,0.00,ITI,-1,14656168
0.00,0.00,ITI,-1,14684248
0.00,0.00,ITI,-1,14712328
0.00,0.00,ITI,-1,14740408
0.00,0.00,ITI,-1,14768488
0.00,0.00,ITI,-1,14796568
0.00,0.00,ITI,-1,14824648
0.00,0.00,ITI,-1,14852728
0.00,0.00,ITI,-1,14880808
0.00,0.00,ITI,-1,14908888
0.00,0.00,ITI,-1,14936968
0.00,0.00,ITI,-1,14965048
0.00,0.00,ITI,-1,14993128
0.00,0.00,ITI,-1,15021208
0.00,0.00,ITI,-1,15049288
0.00,0.00,ITI,-1,15077368
0.00,0.00,ITI,-1,15105448
0.00,0.00,ITI,-1,15133528
0.00,0.00,ITI,-1,15161608
0.00,0.00,ITI,-1,15189688
0.00,0.00,ITI,-1,15217768
0.00,0.00,ITI,-1,15245848
0.00,0.00,ITI,-1,15273928
0.00,0.00,ITI,-1,15302008
0.00,0.00,Stimulus,High_BOI,15341528
0.00,39.02,Stimulus,High_BOI,15382088
0.00,43.95,Stimulus,High_BOI,15422648
0.00,58.54,Stimulus,High_BOI,15463208
0.00,52.91,Stimulus,High_BOI,15503768
0.00,24.43,Stimulus,High_BOI,15544328
0.00,8.26,Stimulus,High_BOI,15583848
0.00,0.00,Stimulus,High_BOI,15623368
0.00,0.00,Stimulus,-1,15656648
0.00,0.00,ITI,-1,15684728
0.00,0.00,ITI,-1,15712808
0.00,0.00,ITI,-1,15740888
0.00,0.00,ITI,-1,15768968
0.00,0.00,ITI,-1,15797048
0.00,0.00,ITI,-1,15825128
0.00,0.00,ITI,-1,15853208
0.00,0.00,ITI,-1,15881288
0.00,0.00,ITI,-1,15909368
0.00,0.00,ITI,-1,15937448
